Player,Year,FirstServe,FirstServePointsWon,Aces,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ServiceGamesPlayed,ServiceGamesWon,Wins,Losses,Earnings,Ranking
Rhyne Williams,2014,0.65,0.72,55,33,24,0.52,10,73,0.78,0,0,3787,1443
Hyeon Chung,2013,0.65,0.57,0,5,3,0.4,1,9,0.67,0,1,16776,19
Juan Martin del Potro,2016,0.65,0.76,277,183,304,0.64,99,409,0.84,32,12,902366,6
Filip Krajinovic,2010,0.65,0.63,29,56,54,0.48,18,86,0.66,3,5,73287,27
Di Wu,2011,0.64,0.39,0,9,1,0.33,1,7,0.14,0,1,5425,249
Ze Zhang,2015,0.64,0.59,20,51,24,0.51,18,54,0.54,3,5,130763,248
Cem Ilkel,2016,0.64,0.49,1,16,11,0.38,6,19,0.47,1,3,30705,244
Denis Istomin,2015,0.64,0.72,242,257,239,0.61,55,475,0.79,23,24,516271,88
Cem Ilkel,2017,0.64,0.72,14,18,9,0.56,6,36,0.78,1,4,61734,244
Aleksandr Nedovyesov,2015,0.64,0.64,11,30,26,0.43,8,50,0.66,2,6,139117,242
Denis Istomin,2016,0.64,0.69,171,177,147,0.55,54,326,0.76,9,21,405402,88
Emilio Gomez,2013,0.64,0.69,5,14,7,0.79,5,20,0.85,2,3,21325,518
Adrian Ungur,2014,0.64,0.63,4,25,26,0.52,10,33,0.64,2,4,67824,548
Denis Istomin,2011,0.64,0.66,172,243,177,0.58,69,363,0.72,12,22,295586,88
Jimmy Wang,2012,0.64,0.66,20,42,38,0.57,13,78,0.77,0,1,10355,1017
John Millman,2016,0.64,0.67,175,274,281,0.54,68,521,0.76,19,21,502180,91
Richard Gasquet,2011,0.64,0.72,288,255,364,0.57,110,609,0.82,34,20,875204,34
Denis Istomin,2013,0.64,0.72,373,392,350,0.67,117,740,0.82,32,30,681140,88
Kei Nishikori,2012,0.64,0.69,133,323,493,0.59,131,616,0.78,37,18,1026183,36
Javier Marti,2010,0.64,0.37,1,9,3,0.44,2,8,0.38,0,1,30521,265
Christopher Eubanks,2017,0.64,0.68,35,37,13,0.62,25,59,0.76,2,3,97890,290
Joao Souza,2012,0.64,0.64,48,79,80,0.48,28,141,0.71,6,10,128934,305
Marsel Ilhan,2010,0.64,0.69,89,100,86,0.64,21,164,0.78,5,10,176366,303
Joao Sousa,2016,0.64,0.7,197,412,426,0.55,122,702,0.74,27,34,977039,64
Tommy Haas,2014,0.64,0.72,114,118,139,0.57,50,272,0.81,14,11,373736,298
Marco Chiudinelli,2015,0.64,0.64,11,25,16,0.44,7,44,0.68,1,3,69144,464
Horacio Zeballos,2017,0.64,0.72,244,231,221,0.58,92,544,0.82,20,22,707542,67
Horacio Zeballos,2015,0.64,0.68,43,50,28,0.62,17,66,0.71,2,4,122418,67
Santiago Giraldo,2013,0.64,0.69,159,246,249,0.57,69,469,0.77,16,25,412767,293
Kevin Anderson,2012,0.64,0.75,638,310,321,0.66,177,727,0.85,30,26,632064,8
Sam Groth,2013,0.64,0.72,62,24,21,0.58,20,51,0.8,1,3,67154,286
Matthew Ebden,2017,0.64,0.71,75,105,129,0.61,70,181,0.77,9,7,193409,78
Lukas Rosol,2009,0.64,0.74,10,12,5,0.67,3,16,0.75,0,1,96631,284
Jiri Vesely,2016,0.64,0.72,339,246,295,0.64,132,544,0.84,21,22,636568,72
Fernando Verdasco,2016,0.64,0.72,348,358,405,0.63,215,659,0.8,29,26,771606,37
Florian Mayer,2016,0.64,0.71,92,121,110,0.59,30,229,0.78,10,12,695103,74
Florian Mayer,2015,0.64,0.65,66,130,74,0.62,20,164,0.7,4,9,226621,74
Florian Mayer,2009,0.64,0.69,31,60,66,0.57,13,107,0.76,3,6,146663,74
Jan Mertl,2016,0.64,0.73,17,15,20,0.6,13,26,0.77,1,1,35265,505
Ivo Karlovic,2010,0.64,0.84,472,94,101,0.71,52,313,0.91,17,9,258401,76
Pedja Krstin,2014,0.64,0.6,5,9,5,0.22,6,20,0.65,0,2,39644,232
Yasutaka Uchiyama,2015,0.64,0.69,12,7,8,0.29,3,19,0.74,0,3,7029,228
Frederik Nielsen,2013,0.64,0.51,4,18,9,0.5,5,18,0.5,17,16,105478,549
James Ward,2013,0.64,0.72,33,26,30,0.69,8,50,0.84,1,4,105764,798
Tristan Lamasine,2016,0.64,0.59,15,33,21,0.52,7,46,0.65,1,4,33816,398
Gilles Muller,2010,0.64,0.82,69,9,20,0.56,13,54,0.93,2,2,74720,28
Milos Raonic,2011,0.64,0.79,637,210,248,0.66,102,601,0.88,31,19,649501,22
Marcel Granollers,2017,0.64,0.66,90,160,128,0.53,37,254,0.7,4,17,339238,129
Albert Ramos-Vinolas,2014,0.64,0.65,77,207,205,0.54,66,372,0.74,13,20,353914,24
Albert Ramos-Vinolas,2010,0.64,0.63,15,58,31,0.64,11,70,0.7,2,4,107457,24
Dustin Brown,2015,0.64,0.74,213,181,168,0.65,146,343,0.81,10,16,350075,162
Nick Kyrgios,2015,0.64,0.76,509,221,250,0.66,144,578,0.87,24,19,961018,25
Dusan Lajovic,2011,0.64,0.62,18,71,55,0.56,17,85,0.64,3,5,57818,93
Liam Broady,2017,0.64,0.64,15,26,33,0.58,5,44,0.75,2,2,78968,157
Grega Zemlja,2011,0.64,0.67,24,44,34,0.59,12,72,0.75,2,6,123877,898
Henri Laaksonen,2014,0.64,0.69,8,36,30,0.61,34,54,0.74,1,3,48989,136
Jurgen Zopp,2015,0.64,0.66,6,16,2,0.69,3,18,0.72,0,2,88682,137
Michael Mmoh,2016,0.64,0.67,11,27,12,0.63,15,34,0.71,0,3,103038,151
Michael Mmoh,2017,0.64,0.63,20,32,22,0.47,14,42,0.6,0,4,147331,151
Steve Darcis,2012,0.64,0.69,150,239,237,0.56,44,463,0.77,22,17,270737,140
Andrey Golubev,2013,0.64,0.74,21,34,42,0.65,12,77,0.84,5,5,112230,880
Simone Bolelli,2014,0.64,0.71,80,82,88,0.51,36,221,0.82,6,9,384043,144
Andrej Martin,2014,0.64,0.61,1,6,7,0.5,2,10,0.7,1,1,71854,145
Kenny De Schepper,2013,0.64,0.72,203,166,95,0.7,112,286,0.83,8,15,376128,174
Jason Kubler,2014,0.64,0.67,2,17,19,0.53,15,27,0.7,1,1,44824,176
Sergiy Stakhovsky,2014,0.64,0.73,214,214,216,0.61,115,414,0.8,20,20,455054,121
Frederik Nielsen,2009,0.64,0.65,6,18,11,0.61,1,21,0.67,0,2,10228,549
Roberto Bautista Agut,2010,0.64,0.57,0,8,5,0.63,1,9,0.67,0,1,77438,16
Mohamed Safwat,2017,0.64,0.72,39,39,18,0.72,14,68,0.84,1,4,93975,226
Radu Albot,2017,0.64,0.66,79,204,202,0.55,75,354,0.74,9,17,462562,96
Vincent Millot,2017,0.64,0.66,38,84,50,0.64,30,99,0.7,2,5,175306,220
Yen-Hsun Lu,2014,0.64,0.71,173,297,255,0.66,136,506,0.8,24,21,585972,98
Christian Garin,2014,0.64,0.57,4,23,15,0.48,5,22,0.45,2,3,31913,216
Thomas Fabbiano,2017,0.64,0.64,28,137,137,0.5,59,199,0.66,4,12,381466,103
Tommy Robredo,2010,0.64,0.7,184,256,269,0.56,89,512,0.78,20,16,159668,202
Tommy Robredo,2014,0.64,0.74,355,389,502,0.64,138,914,0.85,1,2,10995,202
Salvatore Caruso,2016,0.64,0.56,0,8,3,0.38,3,7,0.29,0,1,56549,195
Ruben Bemelmans,2013,0.64,0.72,64,58,49,0.69,26,109,0.83,4,6,132580,108
Cristobal Saavedra-Corvalan,2010,0.64,0.57,1,15,6,0.67,1,12,0.58,0,2,14010,1326
Nils Langer,2013,0.64,0.72,4,11,19,0.27,11,34,0.76,1,2,28792,965
Bastian Trinker,2015,0.64,0.67,9,23,8,0.52,10,31,0.65,1,2,30893,943
Evan King,2017,0.64,0.65,7,19,21,0.47,8,40,0.75,1,2,97081,192
Marco Trungelliti,2013,0.64,0.64,2,26,9,0.77,3,20,0.7,1,1,34679,191
Damir Dzumhur,2017,0.64,0.66,155,470,459,0.59,189,709,0.73,36,24,1012699,31
Carlos Berlocq,2015,0.64,0.68,69,151,112,0.62,34,209,0.73,8,10,194333,114
Yannick Hanfmann,2017,0.64,0.69,62,81,83,0.64,23,141,0.79,7,5,144674,120
Jerzy Janowicz,2016,0.64,0.69,19,38,20,0.76,25,32,0.72,0,3,94253,178
Juan Martin del Potro,2015,0.64,0.82,37,9,18,0.56,8,47,0.91,2,2,23475,6
Simone Bolelli,2009,0.64,0.69,169,276,223,0.66,52,472,0.8,15,23,356874,144
Fred Gil,2011,0.64,0.64,61,210,186,0.54,50,315,0.7,1,6,18747,440
Julien Benneteau,2013,0.64,0.7,314,328,389,0.55,147,639,0.77,27,25,855243,57
Daniel Brands,2010,0.64,0.71,261,178,127,0.57,85,368,0.79,9,19,285751,428
Julien Benneteau,2014,0.64,0.72,358,294,337,0.63,137,592,0.82,26,24,847123,57
Christian Lindell,2012,0.64,0.54,4,11,3,0.55,2,8,0.38,0,1,11690,357
Yuichi Sugita,2011,0.64,0.73,8,28,21,0.61,10,52,0.79,2,3,52742,43
Yoshihito Nishioka,2017,0.64,0.64,21,131,123,0.65,32,180,0.74,9,9,214339,366
Federico Gaio,2015,0.64,0.72,2,3,3,0,4,9,0.67,0,1,39440,320
Julien Benneteau,2011,0.64,0.71,245,256,273,0.6,139,511,0.8,21,21,382382,57
Leonardo Mayer,2015,0.64,0.75,316,250,310,0.66,142,591,0.85,28,23,704175,46
Brydan Klein,2015,0.64,0.64,8,11,0,0.55,7,12,0.58,0,0,10104,399
Mischa Zverev,2011,0.64,0.6,39,197,85,0.58,36,224,0.63,2,18,206751,55
Daniel Masur,2017,0.64,0.72,8,14,3,0.64,6,22,0.77,0,2,74414,404
Mischa Zverev,2016,0.64,0.72,134,132,160,0.59,53,294,0.82,12,14,494173,55
Rubin Statham,2010,0.64,0.7,6,15,18,0.73,7,20,0.8,0,1,5740,354
Konstantin Kravchuk,2016,0.64,0.69,31,46,32,0.67,12,63,0.76,3,4,157438,323
Pablo Cuevas,2009,0.64,0.72,248,202,185,0.59,72,398,0.79,19,15,342020,41
Gael Monfils,2015,0.64,0.74,456,329,359,0.69,154,659,0.84,34,18,1033018,42
Igor Sijsling,2010,0.64,0.73,40,33,27,0.64,11,75,0.84,3,4,89698,391
Peter Gojowczyk,2010,0.64,0.48,1,10,8,0.3,5,12,0.42,0,1,13194,50
Jiri Vesely,2014,0.63,0.71,177,204,209,0.61,128,371,0.78,16,17,445519,72
Casper Ruud,2016,0.63,0.73,6,3,6,0.33,3,10,0.8,2,3,32031,201
Javier Marti,2013,0.63,0.57,3,5,0,0.4,0,9,0.67,0,1,66740,265
Dennis Novak,2015,0.63,0.71,18,27,21,0.56,9,32,0.63,1,2,47349,194
Ernests Gulbis,2009,0.63,0.73,397,285,253,0.6,162,534,0.79,20,26,324796,193
Ernests Gulbis,2010,0.63,0.76,438,221,332,0.62,158,542,0.84,31,20,680867,193
Robin Kern,2013,0.63,0.67,3,5,2,0.4,4,14,0.79,0,1,18238,420
Daniel Evans,2011,0.63,0.73,15,18,16,0.61,20,37,0.81,0,2,41760,994
Maxime Hamou,2017,0.63,0.66,5,9,6,0.56,5,13,0.69,0,1,56131,431
Nicolas Mahut,2015,0.63,0.72,155,154,142,0.58,60,298,0.78,11,11,444016,111
Attila Balazs,2017,0.63,0.59,5,19,13,0.58,12,29,0.72,1,3,55521,184
Konstantin Kravchuk,2011,0.63,0.75,20,10,7,0.6,6,25,0.84,0,2,65461,323
Denis Kudla,2017,0.63,0.7,7,14,15,0.57,7,24,0.75,1,1,130620,117
John Millman,2013,0.63,0.67,37,61,49,0.64,25,78,0.72,2,4,67569,91
Adrian Ungur,2011,0.63,0.61,11,40,41,0.57,15,54,0.69,3,5,94751,548
Rajeev Ram,2015,0.63,0.75,127,80,64,0.65,31,181,0.85,24,23,205208,1054
Pedro Sousa,2011,0.63,0.69,6,7,3,0.43,1,13,0.69,0,1,16434,119
Roberto Carballes Baena,2015,0.63,0.65,8,29,13,0.62,8,35,0.69,1,2,85424,75
John Millman,2015,0.63,0.7,36,85,97,0.52,25,180,0.77,5,9,267787,91
Leonardo Mayer,2017,0.63,0.72,128,108,120,0.61,51,243,0.83,11,8,654598,46
Nicolas Kicker,2016,0.63,0.61,4,30,25,0.6,10,42,0.71,1,2,97361,90
Florian Mayer,2010,0.63,0.71,166,252,272,0.63,68,474,0.8,23,18,469928,74
Matteo Trevisan,2015,0.63,0.64,1,7,9,0.29,4,14,0.64,0,1,12044,1429
Sergiy Stakhovsky,2013,0.63,0.71,159,164,166,0.55,67,328,0.77,11,17,324781,121
Florian Mayer,2013,0.63,0.69,231,323,342,0.59,89,600,0.78,29,26,677398,74
Sergiy Stakhovsky,2010,0.63,0.71,327,331,313,0.6,119,588,0.77,27,25,531864,121
Sergiy Stakhovsky,2009,0.63,0.72,175,194,153,0.6,62,349,0.78,16,14,351693,121
Dudi Sela,2017,0.63,0.7,72,180,185,0.58,75,337,0.77,13,17,474395,94
Nikoloz Basilashvili,2016,0.63,0.68,45,114,97,0.54,65,187,0.72,8,10,234428,80
Jurgen Melzer,2011,0.63,0.69,207,267,325,0.58,100,499,0.78,22,23,683091,581
Yen-Hsun Lu,2013,0.63,0.7,131,216,265,0.58,108,419,0.79,17,17,404039,98
Jeremy Chardy,2017,0.63,0.73,290,246,208,0.64,159,424,0.79,18,21,553224,84
Victor Baluda,2014,0.63,0.59,4,8,1,0.63,2,9,0.67,0,0,11172,1107
Mikhail Youzhny,2014,0.63,0.66,145,303,291,0.6,100,492,0.75,18,23,693920,97
Benjamin Mitchell,2016,0.63,0.65,4,8,0,0.63,3,9,0.67,0,1,36872,561
Di Wu,2017,0.63,0.66,13,25,10,0.52,6,36,0.67,2,2,23040,249
Andrey Rublev,2014,0.63,0.78,4,4,1,0.75,0,12,0.92,1,1,18235,33
Dusan Lajovic,2015,0.63,0.68,132,254,265,0.59,67,449,0.77,17,21,374745,93
Ze Zhang,2014,0.63,0.64,10,27,14,0.63,8,34,0.71,1,4,94208,248
Frank Dancevic,2013,0.63,0.7,48,52,44,0.62,14,81,0.75,3,4,144211,328
Blake Mott,2017,0.63,0.63,7,8,1,0.38,3,14,0.64,0,1,75996,590
Gonzalo Lama,2014,0.63,0.59,3,7,0,0.57,2,9,0.67,2,2,36615,409
Andrey Rublev,2015,0.63,0.68,68,123,111,0.59,51,207,0.75,8,13,157670,33
Marco Cecchinato,2016,0.63,0.66,29,95,49,0.6,23,134,0.72,3,10,171578,100
Marco Cecchinato,2015,0.63,0.64,18,31,19,0.35,14,57,0.65,0,4,157763,100
Maximo Gonzalez,2014,0.63,0.65,18,70,54,0.61,16,100,0.73,3,4,138203,538
Christian Lindell,2016,0.63,0.59,4,6,4,0.33,2,8,0.5,0,1,29516,357
Tim Smyczek,2013,0.63,0.69,112,162,161,0.62,46,263,0.77,8,11,272306,123
Tommy Robredo,2009,0.63,0.72,294,412,484,0.61,145,837,0.81,32,16,203937,202
Omar Jasika,2017,0.63,0.58,1,12,1,0.5,5,11,0.45,0,1,70175,531
Adrian Ungur,2010,0.63,0.57,2,19,15,0.58,6,24,0.67,3,2,48043,548
Mirza Basic,2013,0.63,0.7,22,35,17,0.77,7,46,0.83,2,2,67423,92
Rajeev Ram,2016,0.63,0.72,214,199,184,0.59,89,385,0.79,37,25,532660,1054
Tommy Robredo,2015,0.63,0.7,160,291,280,0.61,85,502,0.77,3,5,31611,202
Daniel Brands,2016,0.63,0.73,74,45,33,0.64,30,93,0.83,2,4,179978,428
Tim Smyczek,2011,0.63,0.62,17,81,73,0.6,21,116,0.72,3,6,83460,123
Rajeev Ram,2013,0.63,0.7,111,131,102,0.61,39,209,0.76,10,15,91586,1054
Gael Monfils,2012,0.63,0.71,198,202,238,0.62,120,336,0.77,19,10,350599,42
Yuichi Sugita,2017,0.63,0.68,110,249,224,0.59,78,407,0.75,22,16,727828,43
Philipp Kohlschreiber,2015,0.63,0.72,270,277,365,0.6,74,618,0.82,32,23,761540,40
Santiago Giraldo,2011,0.63,0.68,202,394,362,0.6,72,663,0.76,31,27,463612,293
Marcel Granollers,2016,0.63,0.69,186,307,298,0.6,68,535,0.77,21,25,867768,129
Horacio Zeballos,2010,0.63,0.69,246,299,219,0.6,89,504,0.76,16,28,401850,67
Go Soeda,2016,0.63,0.73,4,9,6,0.56,1,15,0.73,0,1,100908,138
Federico Gaio,2016,0.63,0.6,0,12,7,0.58,3,10,0.5,0,1,76507,320
Fred Gil,2012,0.63,0.65,37,169,136,0.59,42,246,0.72,4,4,23295,440
Albert Ramos-Vinolas,2015,0.63,0.68,139,284,252,0.64,84,450,0.77,16,23,492583,24
Gael Monfils,2011,0.63,0.72,414,344,427,0.62,192,698,0.81,38,16,1061670,42
Joao Souza,2013,0.63,0.77,28,22,12,0.64,8,44,0.82,1,4,83789,305
Donald Young,2013,0.63,0.62,13,44,42,0.64,22,48,0.67,2,3,140705,131
Donald Young,2011,0.63,0.67,100,260,242,0.57,122,426,0.74,19,17,406036,131
Tommy Haas,2015,0.63,0.7,44,95,57,0.59,52,152,0.74,2,9,183561,298
Lukas Rosol,2017,0.63,0.79,52,29,24,0.66,22,82,0.88,3,4,150492,284
Nicolas Jarry,2017,0.63,0.64,16,27,14,0.67,10,35,0.74,2,3,159234,65
Jurgen Zopp,2016,0.63,0.7,17,13,19,0.46,10,30,0.77,1,2,58384,137
Yannick Maden,2017,0.63,0.7,9,16,21,0.56,2,30,0.77,1,1,73943,132
Dustin Brown,2013,0.63,0.74,61,40,24,0.73,14,73,0.85,2,3,167544,162
Dustin Brown,2014,0.63,0.74,243,167,172,0.6,130,360,0.81,13,16,330144,162
Pablo Andujar,2009,0.63,0.61,24,114,77,0.49,45,149,0.61,1,12,154820,154
Guido Andreozzi,2015,0.63,0.69,4,10,11,0.7,4,17,0.82,1,1,60553,161
Joao Souza,2014,0.63,0.72,12,28,26,0.64,4,50,0.8,1,3,106448,305
Santiago Giraldo,2014,0.63,0.7,201,375,343,0.63,77,633,0.78,29,29,929828,293
Joao Souza,2011,0.63,0.68,108,98,99,0.5,43,172,0.72,7,8,146605,305
Hiroki Moriya,2012,0.63,0.66,7,43,13,0.65,15,51,0.71,1,3,80092,309
Borna Coric,2016,0.63,0.7,249,239,279,0.54,88,476,0.77,22,24,672059,39
Niels Desein,2014,0.63,0.62,5,12,2,0.5,4,12,0.5,0,1,79073,451
Blaz Kavcic,2013,0.63,0.68,107,183,180,0.58,60,308,0.75,11,15,294717,127
Simone Bolelli,2013,0.63,0.67,50,76,70,0.43,24,162,0.73,6,8,172173,144
Blaz Kavcic,2011,0.63,0.66,108,243,216,0.56,127,345,0.69,13,18,241237,127
Norbert Gombos,2014,0.63,0.7,13,18,14,0.61,14,24,0.71,1,5,96821,147
Yann Marti,2016,0.63,0.59,0,18,6,0.61,6,15,0.53,0,1,23172,1062
Steve Darcis,2013,0.63,0.67,32,60,46,0.6,21,106,0.77,5,6,170357,140
Tim Smyczek,2010,0.63,0.59,11,52,30,0.62,12,58,0.66,1,4,72358,123
Kimmer Coppejans,2014,0.63,0.65,4,9,4,0.67,3,13,0.77,0,1,59377,313
Mikhail Elgin,2009,0.63,0.74,17,11,12,0.73,2,17,0.82,3,3,25419,831
Mikhail Youzhny,2009,0.62,0.71,268,407,513,0.6,148,797,0.8,42,28,969006,97
Rubin Statham,2009,0.62,0.6,5,15,5,0.73,4,8,0.5,0,1,4872,354
Jason Jung,2017,0.62,0.58,8,15,3,0.47,6,18,0.56,0,4,55008,155
Gael Monfils,2017,0.62,0.72,314,242,296,0.62,137,468,0.81,20,14,1003855,42
Tatsuma Ito,2017,0.62,0.65,3,10,8,0.5,7,23,0.78,0,2,124423,146
Jurgen Melzer,2012,0.62,0.69,204,291,222,0.57,132,512,0.75,20,25,727806,581
Tatsuma Ito,2016,0.62,0.66,29,43,37,0.49,23,83,0.73,3,4,101220,146
Jimmy Wang,2014,0.62,0.64,38,73,58,0.56,26,117,0.73,0,1,4347,1017
Mirza Basic,2014,0.62,0.59,3,14,11,0.43,3,15,0.47,3,2,32600,92
Mikhail Youzhny,2012,0.62,0.71,236,327,409,0.6,116,660,0.8,33,21,824396,97
JC Aragone,2017,0.62,0.57,4,9,2,0.44,2,12,0.58,0,1,59260,334
Steve Darcis,2017,0.62,0.68,108,246,196,0.58,51,378,0.73,20,20,504846,140
Thai-Son Kwiatkowski,2017,0.62,0.66,10,18,13,0.44,14,35,0.71,0,2,63937,575
Philipp Davydenko,2012,0.62,0.5,0,13,3,0.62,3,9,0.44,0,1,11983,1071
Marinko Matosevic,2012,0.62,0.66,153,284,191,0.65,89,412,0.76,17,19,330778,338
Steve Darcis,2015,0.62,0.66,47,146,93,0.66,42,199,0.75,12,13,272363,140
Richard Gasquet,2017,0.62,0.72,142,290,364,0.64,92,581,0.82,29,18,985805,34
Norbert Gombos,2017,0.62,0.72,79,120,96,0.66,63,164,0.75,5,10,254740,147
Facundo Bagnis,2014,0.62,0.68,29,62,34,0.61,25,90,0.73,2,3,143989,223
Adrian Mannarino,2014,0.62,0.67,192,282,279,0.56,103,493,0.75,16,23,514847,26
Facundo Bagnis,2017,0.62,0.69,87,130,71,0.62,64,191,0.74,3,12,224746,223
Pablo Andujar,2011,0.62,0.65,83,393,352,0.58,140,554,0.7,25,28,530351,154
Jurgen Zopp,2014,0.62,0.67,11,11,9,0.18,8,35,0.74,1,2,123462,137
Lukas Lacko,2015,0.62,0.69,107,109,78,0.54,33,190,0.74,3,12,281271,106
Matthias Bachinger,2015,0.62,0.71,41,41,47,0.68,25,82,0.84,2,4,127081,160
Victor Estrella Burgos,2014,0.62,0.7,75,95,79,0.52,44,201,0.77,9,10,326877,171
Isak Arvidsson,2016,0.62,0.63,5,14,5,0.79,3,11,0.73,2,4,11377,900
Matthew Barton,2016,0.62,0.81,83,29,29,0.69,25,97,0.91,3,3,131850,847
Gilles Muller,2014,0.62,0.78,168,51,56,0.55,40,135,0.83,6,6,234612,28
Carlos Salamanca,2013,0.62,0.66,8,8,4,0.5,4,9,0.56,0,1,31226,761
Anil Yuksel,2017,0.62,0.63,1,9,0,0.67,1,8,0.63,0,0,4645,763
James Ward,2017,0.62,0.7,9,16,0,0.5,3,23,0.65,0,2,67537,798
Jerzy Janowicz,2010,0.62,0.66,3,13,5,0.62,10,18,0.72,1,3,45742,178
Jerzy Janowicz,2012,0.62,0.82,160,50,72,0.6,47,187,0.89,14,4,469587,178
Leonardo Mayer,2016,0.62,0.71,112,163,146,0.63,84,288,0.79,12,15,308291,46
Sergiy Stakhovsky,2015,0.62,0.72,292,326,296,0.67,106,566,0.81,20,27,630295,121
Marcus Willis,2016,0.62,0.69,23,32,11,0.81,14,26,0.77,1,1,71491,680
Robin Haase,2013,0.62,0.72,326,382,338,0.64,152,693,0.8,30,26,543285,44
Jerzy Janowicz,2017,0.62,0.78,116,64,61,0.66,46,175,0.87,6,6,283926,178
Sergiy Stakhovsky,2011,0.62,0.7,265,333,330,0.57,93,569,0.75,25,27,484509,121
Peter Polansky,2016,0.62,0.62,7,25,15,0.72,7,34,0.79,1,2,99391,124
Tim Smyczek,2015,0.62,0.64,62,157,95,0.59,47,214,0.7,5,13,294388,123
Tim Smyczek,2014,0.62,0.66,80,132,100,0.54,57,216,0.72,7,12,255499,123
Ramkumar Ramanathan,2016,0.62,0.72,21,18,21,0.56,9,47,0.83,3,5,68998,116
Gerald Melzer,2015,0.62,0.67,26,57,44,0.65,12,78,0.74,4,4,94782,115
Nick Kyrgios,2013,0.62,0.72,21,24,9,0.54,14,45,0.76,2,2,100679,25
Brayden Schnur,2017,0.62,0.64,11,11,9,0.73,7,15,0.8,0,3,62344,199
Yuichi Sugita,2016,0.62,0.66,48,127,81,0.65,38,168,0.73,6,10,230392,43
Guido Andreozzi,2017,0.62,0.74,15,17,27,0.53,12,38,0.79,1,2,100007,161
Yuichi Sugita,2014,0.62,0.74,30,24,16,0.79,9,51,0.9,0,3,124125,43
Tobias Kamke,2016,0.62,0.65,10,62,64,0.47,31,107,0.69,5,5,157666,213
Tommy Robredo,2011,0.62,0.7,121,200,248,0.63,76,381,0.8,11,6,66870,202
Donald Young,2014,0.62,0.69,122,283,273,0.58,143,492,0.76,18,22,518144,131
Tommy Robredo,2016,0.62,0.67,40,74,54,0.64,21,106,0.75,1,1,9407,202
Carlos Berlocq,2011,0.62,0.67,147,289,341,0.53,106,454,0.7,14,23,346934,114
Ruben Bemelmans,2015,0.62,0.71,86,89,64,0.55,47,157,0.75,3,10,298028,108
Marcel Granollers,2011,0.62,0.69,142,311,348,0.54,92,571,0.75,27,25,978260,129
Marcel Granollers,2012,0.62,0.69,186,334,372,0.56,113,558,0.74,23,23,589760,129
Rhyne Williams,2015,0.62,0.65,3,5,1,0.2,4,8,0.5,0,0,1992,1443
Leonardo Mayer,2013,0.62,0.69,135,200,160,0.58,108,342,0.75,13,18,345468,46
Feliciano Lopez,2009,0.62,0.74,378,247,202,0.62,107,538,0.83,17,24,509029,30
Ivan Dodig,2017,0.62,0.7,27,35,46,0.51,29,64,0.73,43,23,700132,407
Lorenzo Sonego,2016,0.62,0.59,5,15,12,0.6,4,16,0.63,0,1,38235,159
Christopher O'Connell,2017,0.62,0.65,8,24,15,0.67,7,30,0.73,0,2,62591,509
Roberto Carballes Baena,2016,0.62,0.68,61,96,89,0.54,39,164,0.73,6,9,149433,75
Pablo Carreno Busta,2016,0.62,0.7,294,397,454,0.56,118,775,0.77,41,26,990822,12
Matthew Ebden,2012,0.62,0.69,206,298,251,0.59,154,455,0.73,17,23,340582,78
David Goffin,2013,0.62,0.65,98,268,204,0.55,164,382,0.68,11,23,353915,10
Grigor Dimitrov,2013,0.62,0.76,469,287,377,0.6,164,689,0.83,37,23,929859,5
Paolo Lorenzi,2012,0.62,0.65,64,181,156,0.5,51,290,0.69,8,17,275321,63
Matthew Ebden,2011,0.62,0.71,115,119,102,0.57,54,223,0.77,10,10,210330,78
Paolo Lorenzi,2010,0.62,0.65,65,145,110,0.58,68,190,0.68,3,14,162861,63
Luke Saville,2013,0.62,0.53,9,18,5,0.56,7,19,0.58,0,1,42168,452
Florian Mayer,2014,0.62,0.67,78,102,106,0.58,18,175,0.75,8,6,250039,74
Federico Delbonis,2017,0.62,0.69,60,137,138,0.61,65,240,0.78,11,10,356401,79
Joao Sousa,2013,0.62,0.68,77,202,184,0.58,62,322,0.74,16,14,494004,64
Javier Marti,2012,0.62,0.63,14,39,50,0.33,11,66,0.61,1,5,88160,265
Federico Delbonis,2014,0.62,0.71,195,288,278,0.63,122,555,0.81,20,27,561477,79
Ze Zhang,2011,0.62,0.71,10,17,16,0.59,13,26,0.73,1,4,52053,248
Federico Delbonis,2012,0.62,0.71,39,76,85,0.55,41,155,0.78,6,9,125955,79
Dmitry Tursunov,2010,0.62,0.68,86,118,86,0.6,36,196,0.76,6,9,152604,516
Lucas Miedler,2015,0.62,0.63,2,8,8,0.63,0,13,0.77,0,0,6130,317
Philipp Kohlschreiber,2010,0.62,0.75,388,351,437,0.64,136,723,0.83,37,24,637513,40
Marco Chiudinelli,2013,0.62,0.7,17,38,19,0.71,17,50,0.78,1,5,88039,464
Santiago Giraldo,2010,0.62,0.7,192,237,268,0.59,66,482,0.8,20,24,349633,293
Horacio Zeballos,2013,0.62,0.7,206,282,200,0.62,100,460,0.77,15,23,454229,67
Jiri Vesely,2017,0.62,0.7,276,320,265,0.61,187,552,0.78,24,26,695065,72
Horacio Zeballos,2012,0.62,0.68,66,83,73,0.6,33,145,0.77,3,9,140414,67
Matteo Donati,2015,0.62,0.7,14,16,9,0.63,3,22,0.73,1,1,84600,250
